id,lat,lng,name,surrounding,district,township,x,y,tradenum
2375,31.216965131276744,120.59756372143184,开发区管委会,商务住宅,吴中区,越溪街道,-35.285328,10.656236,28164.0
2376,31.19705380436708,120.58092258328249,广播电视大学,政府机构及社会团体,吴中区,越溪街道,8.316004,-20.310225,34523.0
2377,31.243275257500052,120.62972293961323,吴中区阳光水榭,商务住宅,吴中区,城南街道,19.529726,0.5611021,65495.0
2378,31.239676134479442,120.62794098795996,阳光水韵,商务住宅,吴中区,城南街道,10.387936,21.703678,40540.0
2379,31.22555796843071,120.60017592046431,石湖之韵广场,科教文化服务,吴中区,越溪街道,28.529522,18.357851,137463.0
2381,31.212810675485365,120.58545960184163,越溪街道办,政府机构及社会团体,吴中区,越溪街道,-40.330193,-1.2464757,16422.0
2382,31.211490634334048,120.58895956459858,越溪街吴山街,科教文化服务,吴中区,越溪街道,13.561951,8.424348,121461.0
2383,31.20728072240604,120.5840195684788,越湖花园,商务住宅,吴中区,越溪街道,-8.5081005,38.927902,55935.0
2384,31.210820692820768,120.585519579562,越溪首末站,政府机构及社会团体,吴中区,越溪街道,38.555294,19.753477,120432.0
2385,31.20901058721685,120.59060553991631,溪翔新村一区,科教文化服务,吴中区,越溪街道,-7.8165197,2.3294506,58153.0
2386,31.205573211720484,120.59651157621624,瑞华医院,政府机构及社会团体,吴中区,越溪街道,10.213126,8.7635975,60209.0
2387,31.204772738626012,120.60198569011257,溪东新村一区,政府机构及社会团体,吴中区,越溪街道,-41.707603,-6.3883686,12173.0
2388,31.22005570676957,120.60335488507648,石湖华城南门,商务住宅,吴中区,越溪街道,13.590759,-1.0176742,58369.0
2389,31.21937743744677,120.60771295592235,现代园墅,商务住宅,吴中区,越溪街道,-17.41154,3.701008,13992.0
2390,31.21590528586041,120.61097996312944,越秀苑,商务住宅,吴中区,越溪街道,-33.100285,-20.617575,15907.0
2391,31.21135329286438,120.60935489602541,简之韵花园,商务住宅,吴中区,越溪街道,-23.075726,3.1450331,20245.0
2392,31.215235261827694,120.6156370028905,招商小石城西区,商务住宅,吴中区,城南街道,22.336441,1.6001997,54902.0
2393,31.213918299836852,120.61766500368284,招商小石城,商务住宅,吴中区,城南街道,9.613047,-1.2108878,42783.0
2395,31.221043734138444,120.62348500784313,新城金郡北门,科教文化服务,吴中区,城南街道,-16.529583,31.08983,60730.0
